,cik,exchange,industryTitle,irs,name,sic,ticker
39,33002,NYSE,MANIFOLD BUSINESS FORMS,750256410.0,Ennis Inc,2761.0,EBF
40,884887,NYSE,WATER TRANSPORTATION,980081645.0,Royal Caribbean Cruises LTD,4400.0,RCL
41,721083,,OIL & GAS FIELD MACHINERY & EQUIPMENT,953822631.0,Smith International Inc,3533.0,SII
42,1573097,NASDAQ,WHOLESALE-DURABLE GOODS,260486780.0,HD Supply Holdings Inc,5000.0,HDS
43,1310982,OTC,CRUDE PETROLEUM & NATURAL GAS,710971567.0,Park Place Energy Corp,1311.0,PKPL
44,1507605,OTCBB,PATENT OWNERS & LESSORS,10949984.0,Marathon Patent Group Inc,6794.0,MARA
45,1179929,NYSE,HOSPITAL & MEDICAL SERVICE PLANS,134204626.0,Molina Healthcare Inc,6324.0,MOH
46,1507615,NYSE,PIPE LINES (NO NATURAL GAS),274151603.0,Tesoro Logistics LP,4610.0,TLLP
47,1573166,NYSE,CRUDE PETROLEUM & NATURAL GAS,800907968.0,Jones Energy Inc,1311.0,JONE
48,1540400,NASDAQ,SERVICES-PREPACKAGED SOFTWARE,943366487.0,E2open Inc,7372.0,EOPN
49,98618,OTC,COMPUTER STORAGE DEVICES,860220694.0,Alanco Technologies Inc,3572.0,ALAN
50,1016125,NASDAQ,SERVICES-PREPACKAGED SOFTWARE,650694077.0,Ultimate Software Group Inc,7372.0,ULTI
51,1048911,NYSE,AIR COURIER SERVICES,621721435.0,Fedex Corp,4513.0,FDX
52,885074,NASDAQ,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,141673067.0,Authentidate Holding Corp,7373.0,ADAT
53,33113,OTC,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES",231714256.0,Environmental Tectonics Corp,3690.0,ETCC
54,1442145,NASDAQ,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,262994223.0,Verisk Analytics Inc,7374.0,VRSK
55,1409375,NYSE MKT,ELECTRIC LIGHTING & WIRING EQUIPMENT,391847269.0,Orion Energy Systems Inc,3640.0,OESX
56,1016169,NASDAQ,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,411350192.0,Antares Pharma Inc,3841.0,ATRS
57,98677,NYSE,SUGAR & CONFECTIONERY PRODUCTS,221318955.0,Tootsie Roll Industries Inc,2060.0,TR
58,1081745,OTCBB,SERVICES-PREPACKAGED SOFTWARE,870613716.0,Globalwise Investments Inc,7372.0,GWIV
59,1376610,NYSE MKT,GOLD AND SILVER ORES,,Allied Nevada Gold Corp,1040.0,ANV
60,1409432,,GOLD AND SILVER ORES,260665441.0,National Graphite Corp,1040.0,SRVS
61,1278363,,WHOLESALE-MOTOR VEHICLE SUPPLIES & NEW PARTS,680566295.0,Marketing Worldwide Corp,5013.0,PENDING
62,1114483,NYSE,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES",161531026.0,Greatbatch Inc,3690.0,GB
63,98720,,CRUDE PETROLEUM & NATURAL GAS,750991164.0,Toreador Resources Corp,1311.0,TRGL
64,1180079,NYSE,COMPUTER COMMUNICATIONS EQUIPMENT,,Silver Spring Networks Inc,3576.0,SSNI
65,1278384,NYSE MKT,REAL ESTATE INVESTMENT TRUSTS,412111139.0,NTS Realty Holdings LP,6798.0,NLP
66,1016178,NASDAQ,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",133904174.0,Carver Bancorp Inc,6035.0,CARV
67,33213,NYSE,CRUDE PETROLEUM & NATURAL GAS,250464690.0,Eqt Corp,1311.0,EQT
68,65984,NYSE,ELECTRIC SERVICES,721229752.0,Entergy Corp,4911.0,ETR
69,98752,OTC,"ELECTRONIC COILS, TRANSFORMERS & OTHER INDUCTORS",440610086.0,Torotel Inc,3677.0,TTLO
70,917968,,MISCELLANEOUS FOOD PREPARATIONS & KINDRED PRODUCTS,910863396.0,Peets Coffee & Tea Inc,2090.0,PEET
71,66004,NASDAQ,WATER SUPPLY,221114430.0,Middlesex Water Co,4941.0,MSEX
72,1409493,NYSE,REAL ESTATE INVESTMENT TRUSTS,260630461.0,Chimera Investment Corp,6798.0,CIM
73,852437,NYSE MKT,SERVICES-PREPACKAGED SOFTWARE,841035353.0,Rand Worldwide Inc,7372.0,AVSO
74,1016281,NYSE,SERVICES-PERSONAL SERVICES,760423828.0,Carriage Services Inc,7200.0,CSV
75,721371,NYSE,"WHOLESALE-DRUGS, PROPRIETARIES & DRUGGISTS' SUNDRIES",310958666.0,Cardinal Health Inc,5122.0,CAH
76,33185,NYSE,"SERVICES-CONSUMER CREDIT REPORTING, COLLECTION AGENCIES",580401110.0,Equifax Inc,7320.0,EFX
77,819689,NYSE MKT,ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS,720925679.0,Arrhythmia Research Technology Inc,3845.0,HRT
78,1343979,OTC,PERIODICALS: PUBLISHING OR PUBLISHING & PRINTING,650855736.0,Cirque Energy Inc,2721.0,EWRL
79,1409430,OTC,GOLD AND SILVER ORES,260665571.0,All American Gold Corp,1040.0,AAGC
80,1442236,OTCBB,"SERVICES-EQUIPMENT RENTAL & LEASING, NEC",510665952.0,Quest Resource Holding Corp,7359.0,IRHC
81,1081823,,"SERVICES-BUSINESS SERVICES, NEC",980348508.0,China Pharmaceuticals International Corp,7389.0,CPCL
82,1475065,OTC,"SERVICES-BUSINESS SERVICES, NEC",980583175.0,Tungsten Corp,7389.0,TUNG
83,885245,NYSE,RETAIL-FAMILY CLOTHING STORES,470366193.0,Buckle Inc,5651.0,BKE
84,1311230,NASDAQ,INDUSTRIAL ORGANIC CHEMICALS,331077078.0,Solazyme Inc,2860.0,SZYM
85,1278465,,CRUDE PETROLEUM & NATURAL GAS,980414501.0,Eurasia Energy LTD,1311.0,PALV
86,786947,NASDAQ,PHARMACEUTICAL PREPARATIONS,110853640.0,Acura Pharmaceuticals Inc,2834.0,ACUR
87,1081860,OTCBB,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",920167101.0,Alaska Pacific Bancshares Inc,6035.0,AKPB
88,1081834,,"SERVICES-BUSINESS SERVICES, NEC",870629754.0,Uonlive Corp,7389.0,CWTD
89,1049108,NYSE,SERVICES-AUTO RENTAL & LEASING (NO DRIVERS),731356520.0,Dollar Thrifty Automotive Group Inc,7510.0,DTG
90,1376804,,METAL MINING,980543851.0,Tierra Grande Resources Inc,1000.0,BUKX
91,721447,NYSE MKT,"PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS",42795439.0,Cca Industries Inc,2844.0,CAW
92,1376755,OTC,RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS,205587756.0,Kingdom Koncrete Inc,5211.0,KGKO
93,1180145,NASDAQ,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,411698056.0,Cardiovascular Systems Inc,3841.0,CSII
94,1507881,NASDAQ,"SERVICES-GENERAL MEDICAL & SURGICAL HOSPITALS, NEC",272866866.0,Usmd Holdings Inc,8062.0,USMD
95,885306,NASDAQ,ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS,43125110.0,Cynosure Inc,3845.0,CYNO
96,885307,NASDAQ,RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS,,Jewett Cameron Trading Co LTD,5211.0,JCTCF
97,1442376,,SERVICES-ADVERTISING,262589503.0,Streamtrack Inc,7310.0,LUXD
98,885322,OTC,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED",391726871.0,Anchor Bancorp Wisconsin Inc,6036.0,ABCW
99,819793,NYSE,"BROADWOVEN FABRIC MILLS, MAN MADE FIBER & SILK",140462060.0,Albany International Corp,2221.0,AIN
100,1081938,,BLANK CHECKS,274635140.0,Golden Dragon Holding Co,6770.0,CCVR
101,1376812,NYSE,BITUMINOUS COAL & LIGNITE MINING,,Patriot Coal Corp,1220.0,PCX
102,1311241,NASDAQ,SEMICONDUCTORS & RELATED DEVICES,201616267.0,Intermolecular Inc,3674.0,IMI
103,852570,OTC,"SERVICES-BUSINESS SERVICES, NEC",880199674.0,Global Axcess Corp,7389.0,GAXC
104,1180262,NYSE,"WHOLESALE-DRUGS, PROPRIETARIES & DRUGGISTS' SUNDRIES",,Herbalife LTD,5122.0,HLF
105,1213037,NASDAQ,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",43721895.0,Trovagene Inc,2836.0,TROV
106,1507957,NASDAQ,ELECTRICAL INDUSTRIAL APPARATUS,141999058.0,Ideal Power Inc,3620.0,IPWR
107,1049210,NASDAQ,INDUSTRIAL ORGANIC CHEMICALS,223297375.0,Verenium Corp,2860.0,VRNM
108,787075,,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED",570866076.0,First Financial Holdings Inc,6036.0,FFCH
109,1311370,NYSE,INVESTMENT ADVICE,980437848.0,Lazard LTD,6282.0,LAZ
110,852564,OTC,OPHTHALMIC GOODS,,Unilens Vision Inc,3851.0,UVIC
111,918160,NYSE,"STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)",311401455.0,Ak Steel Holding Corp,3312.0,AKS
112,1507986,NASDAQ,BLANK CHECKS,900632274.0,Jetpay Corp,6770.0,JTPY
113,1245841,,SERVICES-DIRECT MAIL ADVERTISING SERVICES,371458557.0,Wild Craze Inc,7331.0,WRDS
114,1016470,,PATENT OWNERS & LESSORS,330714264.0,SRS Labs Inc,6794.0,SRSL
115,1344154,NYSE,"SERVICES-GENERAL MEDICAL & SURGICAL HOSPITALS, NEC",203738384.0,Envision Healthcare Corp,8062.0,EMS
116,1213106,OTC,RETAIL-JEWELRY STORES,,Jetblack Corp,5944.0,JTBK
117,1082038,NASDAQ,PHARMACEUTICAL PREPARATIONS,943297098.0,Durect Corp,2834.0,DRRX
118,1507934,NASDAQ,CABLE & OTHER PAY TELEVISION SERVICES,208988475.0,Starz,4841.0,STRZA
119,819913,NASDAQ,"INSURANCE CARRIERS, NEC",870447375.0,Hallmark Financial Services Inc,6399.0,HALL
120,1475274,NASDAQ,SERVICES-ADVERTISING,260159761.0,Retailmenot Inc,7310.0,SALE
121,1475273,OTC,RETAIL-NONSTORE RETAILERS,611638630.0,Soupman Inc,5960.0,SOUP
122,1442505,NASDAQ,"COMMUNICATIONS SERVICES, NEC",,New Clearwire Corp,4899.0,CLWR
123,1114714,NYSE,SERVICES-PREPACKAGED SOFTWARE,233024258.0,Kenexa Corp,7372.0,KNXA
124,885462,NASDAQ,CHEMICALS & ALLIED PRODUCTS,133637458.0,Gulf Resources Inc,2800.0,DSFX
125,1573516,NYSE,RETAIL-AUTO DEALERS & GASOLINE STATIONS,462279221.0,Murphy USA Inc,5500.0,MUSA
126,1016504,NYSE,PHARMACEUTICAL PREPARATIONS,222407475.0,Integrated Biopharma Inc,2834.0,INB
127,33488,NASDAQ,"SPORTING & ATHLETIC GOODS, NEC",132739290.0,Escalade Inc,3949.0,ESCA
128,819926,NASDAQ,SPECIAL INDUSTRY MACHINERY (NO METALWORKING MACHINERY),752233445.0,Cleantech Solutions International Inc,3550.0,MLEX
129,1016546,NASDAQ,MISCELLANEOUS CHEMICAL PRODUCTS,331084375.0,Altair Nanotechnologies Inc,2890.0,ALTI
130,885475,,SERVICES-PERSONAL SERVICES,42893483.0,Eco-shift Power Corp,7200.0,IFLI
131,918251,NASDAQ,MOTOR VEHICLE PARTS & ACCESSORIES,112153962.0,Motorcar Parts America Inc,3714.0,MPAA
132,1377013,NYSE,CABLE & OTHER PAY TELEVISION SERVICES,841496755.0,Time Warner Cable Inc,4841.0,TWC
133,1311486,NYSE,OIL & GAS FIELD EXPLORATION SERVICES,,Global Geophysical Services Inc,1382.0,GGS
134,33533,NYSE MKT,"ELECTRONIC COMPONENTS, NEC",141387171.0,Espey MFG & Electronics Corp,3679.0,ESP
135,1377053,OTC,PHARMACEUTICAL PREPARATIONS,201915083.0,Atheronova Inc,2834.0,AHRO
136,721683,NYSE,"SERVICES-BUSINESS SERVICES, NEC",581493818.0,Total System Services Inc,7389.0,TSS
137,885508,NASDAQ,LAND SUBDIVIDERS & DEVELOPERS (NO CEMETERIES),721211572.0,Stratus Properties Inc,6552.0,STRS
138,99106,OTC,MISCELLANEOUS MANUFACTURING INDUSTRIES,131394750.0,Trans Lux Corp,3990.0,TNLX
139,852766,,TRANSPORTATION SERVICES,202181181.0,Ytb International Inc,4700.0,YTBLA
140,885542,,NATIONAL COMMERCIAL BANKS,570951843.0,Peoples Bancorporation Inc,6021.0,PBCE
141,721693,NASDAQ,"SERVICES-BUSINESS SERVICES, NEC",900093373.0,China Recycling Energy Corp,7389.0,CREG
142,885550,NASDAQ,PERSONAL CREDIT INSTITUTIONS,381999511.0,Credit Acceptance Corp,6141.0,CACC
143,1114927,OTC,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",680450397.0,First Northern Community Bancorp,6035.0,FNRN
144,885551,,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES",770214673.0,Valence Technology Inc,3690.0,VLNC
145,852772,NASDAQ,RETAIL-EATING  PLACES,133487402.0,Dennys Corp,5812.0,DENN
146,1311538,NYSE MKT,BEVERAGES,,Castle Brands Inc,2080.0,ROX
147,787253,NASDAQ,MEDICINAL CHEMICALS & BOTANICAL PRODUCTS,841007839.0,Natural Alternatives International Inc,2833.0,NAII
148,1508128,,MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS),,Passport Potash Inc,1400.0,PPI
149,1114936,,PHARMACEUTICAL PREPARATIONS,980177440.0,Umeworld LTD,2834.0,ALRX
150,820027,NYSE,INVESTMENT ADVICE,133180631.0,Ameriprise Financial Inc,6282.0,AMP
151,1442634,,"SERVICES-BUSINESS SERVICES, NEC",,Organic Alliance Inc,7389.0,ORG
152,66382,NASDAQ,OFFICE FURNITURE,380837640.0,Miller Herman Inc,2520.0,MLHR
153,787250,,ELECTRIC & OTHER SERVICES COMBINED,311163136.0,DPL Inc,4931.0,DPL
154,33619,NYSE,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL",132595091.0,Esterline Technologies Corp,3823.0,ESL
155,885590,NYSE,PHARMACEUTICAL PREPARATIONS,,Valeant Pharmaceuticals International Inc,2834.0,VRX
156,1114925,NASDAQ,COMPUTER COMMUNICATIONS EQUIPMENT,330362767.0,Lantronix Inc,3576.0,LTRX
157,1409885,OTC,RETAIL-NONSTORE RETAILERS,208677788.0,Eco Building Products Inc,5960.0,ECOB
158,1540947,NYSE,NATURAL GAS TRANSMISSION,371661577.0,Eqt Midstream Partners LP,4922.0,EQM
159,1311596,NASDAQ,PHARMACEUTICAL PREPARATIONS,30422069.0,Regado Biosciences Inc,2834.0,RGDO
160,820081,NYSE,PHARMACEUTICAL PREPARATIONS,222476135.0,Cambrex Corp,2834.0,CBM
161,66418,NYSE MKT,CRUDE PETROLEUM & NATURAL GAS,840627918.0,Mexco Energy Corp,1311.0,MXC
162,787251,NYSE,CRUDE PETROLEUM & NATURAL GAS,870638750.0,China North East Petroleum Holdings LTD,1311.0,NEP
163,1114999,OTC,SERVICES-PREPACKAGED SOFTWARE,,Radview Software LTD,7372.0,RDVWF
164,1377149,OTCBB,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,,Careview Communications Inc,3663.0,CRVW
165,1475430,NYSE,BLANK CHECKS,270531073.0,Joshua Gold Resources Inc,6770.0,BIO
166,820097,,"ELECTRONIC COMPONENTS, NEC",222063614.0,Micronetics Inc,3679.0,NOIZ
167,1016708,OTCBB,OIL & GAS FIELD EXPLORATION SERVICES,980170247.0,Renovacare Inc,1382.0,JANI
168,885639,NYSE,RETAIL-DEPARTMENT STORES,391630919.0,Kohls Corp,5311.0,KSS
169,1082198,OTC,GENERAL BLDG CONTRACTORS - RESIDENTIAL BLDGS,364025775.0,Pernix Group Inc,1520.0,PRXG
170,820096,NYSE,PHARMACEUTICAL PREPARATIONS,382799573.0,Perrigo Co,2834.0,PRGO
171,1344413,NASDAQ,PHARMACEUTICAL PREPARATIONS,770567768.0,Alexza Pharmaceuticals Inc,2834.0,ALXA
172,918386,NASDAQ,COMPUTER COMMUNICATIONS EQUIPMENT,330537669.0,Qlogic Corp,3576.0,QLGC
173,1442711,OTC,MOTORS & GENERATORS,,Cyclone Power Technologies Inc,3621.0,CYPW
174,1344394,OTC,METAL MINING,200716175.0,Colorado Goldfields Inc,1000.0,CGFI
175,1508262,OTCBB,"MEASURING & CONTROLLING DEVICES, NEC",990362658.0,Santa Fe Petroleum Inc,3829.0,SFPI
176,1049505,OTC,SERVICES-PREPACKAGED SOFTWARE,841290152.0,US Dataworks Inc,7372.0,UDWK
177,1049521,NASDAQ,ELECTRONIC COMPONENTS & ACCESSORIES,42741391.0,Mercury Systems Inc,3670.0,MRCY
178,1049502,NASDAQ,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL",42277512.0,MKS Instruments Inc,3823.0,MKSI
179,1442741,NASDAQ,STATE COMMERCIAL BANKS,800229922.0,Xenith Bankshares Inc,6022.0,XBKS
180,1115055,NASDAQ,NATIONAL COMMERCIAL BANKS,621812853.0,Pinnacle Financial Partners Inc,6021.0,PNFP
181,1409999,,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,980521119.0,Digital Development Partners Inc,3663.0,CYIM
182,1082278,OTC,MOTOR VEHICLE PARTS & ACCESSORIES,134172059.0,Environmental Solutions Worldwide Inc,3714.0,ESWW
183,1311673,OTC,"SERVICES-BUSINESS SERVICES, NEC",760736467.0,Yacht Finders Inc,7389.0,YTFD
184,1399250,NASDAQ,MEDICINAL CHEMICALS & BOTANICAL PRODUCTS,,Transition Therapeutics Inc,2833.0,TTHI
185,885721,NASDAQ,RETAIL-DRUG STORES AND PROPRIETARY STORES,431420563.0,Express Scripts Inc,5912.0,ESRX
186,33769,NASDAQ,RETAIL-EATING  PLACES,314421866.0,Bob Evans Farms Inc,5812.0,BOBE
187,1082324,NYSE MKT,PATENT OWNERS & LESSORS,770390628.0,Virnetx Holding Corp,6794.0,PASW
188,1311735,,BEVERAGES,61678089.0,Frontier Beverage Company Inc,2080.0,ASDI
189,99302,NASDAQ,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS,160874418.0,Transcat Inc,3825.0,TRNS
190,1049606,NYSE MKT,"CUTLERY, HANDTOOLS & GENERAL HARDWARE",570981653.0,Compx International Inc,3420.0,CIX
191,1410056,NYSE MKT,INDUSTRIAL ORGANIC CHEMICALS,204864036.0,Greenhunter Resources Inc,2860.0,GRH
192,66570,NYSE,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES",250668780.0,Mine Safety Appliances Co,3842.0,MSA
193,885725,NYSE,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,42695240.0,Boston Scientific Corp,3841.0,BSX
194,918541,NASDAQ,BALL & ROLLER BEARINGS,621096725.0,NN Inc,3562.0,NNBR
195,820237,,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,330044608.0,Gen Probe Inc,3841.0,GPRO
196,1082384,,"SERVICES-BUSINESS SERVICES, NEC",880381646.0,China Green Material Technologies Inc,7389.0,UBDT
197,1541119,NASDAQ,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",,Sound Financial Bancorp Inc,6035.0,SFBC
198,99359,NYSE MKT,"AIRCRAFT PARTS & AUXILIARY EQUIPMENT, NEC",954062211.0,Breeze-eastern Corp,3728.0,BZC
199,1442853,,METAL MINING,,Indo Global Exchanges Pte LTD,1000.0,CLRV
200,1377318,,COMMERCIAL PRINTING,510541963.0,Tombstone Cards Inc,2750.0,TMCI
201,754673,NASDAQ,NATIONAL COMMERCIAL BANKS,112708279.0,Suffolk Bancorp,6021.0,SUBK
202,754737,NYSE,ELECTRIC & OTHER SERVICES COMBINED,570784499.0,Scana Corp,4931.0,SCG
203,1410098,NYSE MKT,PHARMACEUTICAL PREPARATIONS,,Cormedix Inc,2834.0,CRMD
204,918580,NASDAQ,"GAMES, TOYS & CHILDREN'S VEHICLES (NO DOLLS & BICYCLES)",880310433.0,Gaming Partners International Corp,3944.0,GPIC
205,1508381,,SERVICES-OFFICES & CLINICS OF DOCTORS OF MEDICINE,271340346.0,Drywave Technologies Inc,8011.0,SDNT
206,721994,NASDAQ,STATE COMMERCIAL BANKS,351559596.0,Lakeland Financial Corp,6022.0,LKFN
207,1344596,NASDAQ,RAILROAD EQUIPMENT,431481791.0,American Railcar Industries Inc,3743.0,ARII
208,1311828,OTC,NATIONAL COMMERCIAL BANKS,201734180.0,Independence Bancshares Inc,6021.0,IEBS
209,1508363,,PATENT OWNERS & LESSORS,980576696.0,Health In Harmony Inc,6794.0,HTHH
210,1410132,OTC,PERIODICALS: PUBLISHING OR PUBLISHING & PRINTING,205611551.0,Platinum Studios Inc,2721.0,PDOS
211,918573,,CRUDE PETROLEUM & NATURAL GAS,841168832.0,Avalon Oil & Gas Inc,1311.0,AOGS
212,1115222,NYSE,"SERVICES-CONSUMER CREDIT REPORTING, COLLECTION AGENCIES",223725387.0,Dun & Bradstreet Corp,7320.0,DNB
213,918581,NYSE,SERVICES-COMPUTER PROGRAMMING SERVICES,382046833.0,Ciber Inc,7371.0,CBR
214,1366649,OTC,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,943409691.0,Dialogic Inc,7373.0,DLGC
215,918646,NYSE,"CEMENT, HYDRAULIC",752520779.0,Eagle Materials Inc,3241.0,EXP
216,820313,NYSE,ELECTRONIC CONNECTORS,222785165.0,Amphenol Corp,3678.0,APH
217,1344632,,SERVICES-PREPACKAGED SOFTWARE,,Lawson Software Inc,7372.0,LWSN
218,230498,NYSE,PAPERBOARD CONTAINERS & BOXES,620342590.0,Rock-tenn Co,2650.0,RKT
219,1410172,NASDAQ,SEMICONDUCTORS & RELATED DEVICES,364419301.0,Rubicon Technology Inc,3674.0,RBCN
220,820318,NASDAQ,OPTICAL INSTRUMENTS & LENSES,251214948.0,Ii-vi Inc,3827.0,IIVI
221,1082492,,CRUDE PETROLEUM & NATURAL GAS,341856165.0,Vadda Energy Corp,1311.0,BMVH
222,1082506,NASDAQ,SERVICES-PREPACKAGED SOFTWARE,943219054.0,Unwired Planet Inc,7372.0,UPIP
223,1082510,NYSE,ELECTRIC SERVICES,61541045.0,Uil Holdings Corp,4911.0,UIL
224,820380,OTC,SERVICES-PREPACKAGED SOFTWARE,870447580.0,International Automated Systems Inc,7372.0,IAUS
225,754811,NASDAQ,INVESTMENT ADVICE,741598370.0,U S Global Investors Inc,6282.0,GROW
226,1082526,NASDAQ,SERVICES-PREPACKAGED SOFTWARE,562127592.0,Sciquest Inc,7372.0,SQI
227,722077,,SERVICES-MOTION PICTURE THEATERS,431304369.0,Amc Entertainment Inc,7830.0,AEN
228,66740,NYSE,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,410417775.0,3M Co,3841.0,MMM
229,1049782,NASDAQ,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",,Brookline Bancorp Inc,6035.0,BRKL
